"date","state","confirmed","deaths","tests","positives","recovered","hosp","icu","vent"
2020-03-14,"Tasmania",5,0,0,5,0,0,0,0
2020-03-14,"Victoria",49,0,0,49,0,0,0,0
2020-03-14,"Western Australia",17,1,0,0,0,0,0,0
2020-03-15,"Australian Capital Territory",1,0,0,1,0,0,0,0
2020-03-15,"New South Wales",134,3,22567,134,0,0,0,0
2020-03-15,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-15,"Queensland",61,1,0,61,0,0,0,0
2020-03-15,"South Australia",20,0,0,19,0,0,0,0
2020-03-15,"Tasmania",6,0,0,6,0,0,0,0
2020-03-15,"Victoria",57,0,0,57,0,0,0,0
2020-03-15,"Western Australia",18,1,0,0,0,0,0,0
2020-03-16,"Australian Capital Territory",2,0,0,2,0,0,0,0
2020-03-16,"New South Wales",171,3,26964,171,0,0,0,0
2020-03-16,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-16,"Queensland",68,1,0,68,0,0,0,0
2020-03-16,"South Australia",29,0,0,20,0,0,0,0
2020-03-16,"Tasmania",7,0,0,7,0,0,0,0
2020-03-16,"Victoria",71,0,11700,71,0,0,0,0
2020-03-16,"Western Australia",28,1,0,0,0,0,0,0
2020-03-17,"Australian Capital Territory",2,0,0,2,0,0,0,0
2020-03-17,"New South Wales",210,3,30244,210,0,0,0,0
2020-03-17,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-17,"Queensland",78,1,0,78,0,0,0,0
2020-03-17,"South Australia",32,0,0,29,0,0,0,0
2020-03-17,"Tasmania",7,0,0,7,0,0,0,0
2020-03-17,"Victoria",94,0,14200,94,0,0,0,0
2020-03-17,"Western Australia",31,1,0,0,0,0,0,0
2020-03-18,"Australian Capital Territory",3,0,0,3,0,0,0,0
2020-03-18,"New South Wales",267,4,35800,267,0,0,0,0
2020-03-18,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-18,"Queensland",94,1,0,94,0,0,0,0
2020-03-18,"South Australia",37,0,0,32,0,0,0,0
2020-03-18,"Tasmania",10,0,0,10,0,0,0,0
2020-03-18,"Victoria",121,0,15200,121,0,0,0,0
2020-03-18,"Western Australia",35,1,0,0,0,0,0,0
2020-03-19,"Australian Capital Territory",4,0,0,4,0,0,0,0
2020-03-19,"New South Wales",307,4,39089,307,0,0,0,0
2020-03-19,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-19,"Queensland",144,1,27064,144,0,0,0,0
2020-03-19,"South Australia",42,0,0,37,0,0,0,0
2020-03-19,"Tasmania",10,0,0,10,0,0,0,0
2020-03-19,"Victoria",150,0,17180,150,28,0,0,0
2020-03-19,"Western Australia",52,1,0,0,0,0,0,0
2020-03-20,"Australian Capital Territory",6,0,2218,6,0,0,0,0
2020-03-20,"New South Wales",353,5,40651,353,0,0,0,0
2020-03-20,"Northern Territory",2,0,0,2,0,0,0,0
2020-03-20,"Queensland",184,1,28386,184,0,0,0,0
2020-03-20,"South Australia",50,0,0,42,0,0,0,0
2020-03-20,"Tasmania",10,0,807,10,0,0,0,0
2020-03-20,"Victoria",178,0,19337,178,39,0,0,0
2020-03-20,"Western Australia",64,1,0,0,0,0,0,0
2020-03-21,"Australian Capital Territory",9,0,2218,9,0,0,0,0
2020-03-21,"New South Wales",436,5,46892,436,0,0,0,0
2020-03-21,"Northern Territory",4,0,0,4,0,0,0,0
2020-03-21,"Queensland",221,1,29867,221,0,0,0,0
2020-03-21,"South Australia",67,0,0,50,0,0,0,0
2020-03-21,"Tasmania",16,0,807,16,0,0,0,0
2020-03-21,"Victoria",229,0,20500,229,51,0,0,0
2020-03-21,"Western Australia",90,1,0,0,0,0,0,0
2020-03-22,"Australian Capital Territory",19,0,2414,19,0,0,0,0
