"date","confirmed","deaths","tests","positives","recovered","hosp","icu","vent","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","id","state_abbrev"
2020-06-27,7818,104,2336061,6857,6967,12,1,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-28,7863,104,2379175,6901,6981,11,1,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-29,7944,104,2415695,6982,6996,15,1,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-06-30,8011,104,2455982,7047,7023,14,1,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-01,8097,104,2505923,7133,7051,18,3,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-02,8178,104,2563782,7213,7078,24,5,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-03,8243,104,2617860,7278,7116,27,7,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-04,8349,104,2668036,7384,7153,29,4,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-05,8436,104,2713435,7465,7197,30,4,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-06,8573,106,2759165,7599,7218,34,6,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-07,8742,106,2801107,7768,7253,39,10,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-08,8872,106,2856406,7893,7284,46,8,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-09,9045,106,2910831,8062,7372,45,10,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-10,9345,106,2970268,8357,7432,54,13,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-11,9537,107,3021493,8547,7519,55,16,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-12,9781,108,3075488,8790,7523,67,17,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-13,9964,108,3117788,8973,7564,92,18,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-14,10235,110,3162237,9243,7630,90,27,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-15,10479,111,3222141,9479,7723,111,28,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-16,10794,113,3287716,9792,7831,114,30,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-17,11219,116,3350464,10215,7912,127,32,22,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-18,11423,119,3413831,10418,7955,115,26,18,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-19,11784,122,3476463,10779,8066,135,29,18,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-20,12052,123,3534425,11046,8188,156,33,17,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-21,12410,126,3590735,11404,8336,182,38,23,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-22,12878,128,3650529,11872,8445,215,42,25,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-23,13285,133,3719837,12279,8564,211,41,25,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-24,13574,140,3795421,12568,8718,217,44,1,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-25,13927,145,3859505,12921,8804,239,46,1,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-26,14380,155,3935124,13372,8957,241,46,22,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-27,14912,161,3987090,13904,9098,259,49,24,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-28,15281,167,4032061,14272,9218,275,47,24,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-29,15560,176,4098249,14549,9407,323,46,1,25459470,1,"Australia",NA,NA,"99999999",NA
2020-07-30,16277,189,4163102,15265,9541,330,40,1,25459470,1,"Australia",NA,NA,"99999999",NA
