"COVID_Data_Hub.date","COVID_Data_Hub.confirmed","COVID_Data_Hub.deaths","COVID_Data_Hub.tests","COVID_Data_Hub.positives","COVID_Data_Hub.recovered","COVID_Data_Hub.hosp","COVID_Data_Hub.icu","COVID_Data_Hub.vent","COVID_Data_Hub.population","COVID_Data_Hub.administrative_area_level","COVID_Data_Hub.administrative_area_level_1","COVID_Data_Hub.administrative_area_level_2","COVID_Data_Hub.administrative_area_level_3","COVID_Data_Hub.id"
2020-07-06,8586,106,2759165,8586,7231,34,6,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-07,8755,106,2801107,8755,7266,39,10,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-08,8886,106,2856406,8886,7298,46,8,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-09,9059,106,2910831,9059,7386,45,10,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-10,9359,106,2970268,9359,7446,54,13,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-11,9553,107,3021493,9553,7535,55,16,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-12,9797,108,3075488,9797,7539,67,17,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-13,9980,108,3117788,9980,7580,92,18,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-14,10251,110,3162237,10251,7646,90,27,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-15,10495,111,3222141,10495,7739,111,28,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-16,10810,113,3287716,10810,7847,114,30,0,25459470,1,"Australia",NA,NA,"99999999"
2020-07-17,11235,116,3350464,11235,7928,127,32,22,25459470,1,"Australia",NA,NA,"99999999"
2020-07-18,11441,119,3413831,11441,7973,115,26,18,25459470,1,"Australia",NA,NA,"99999999"
2020-07-19,11802,122,3476463,11802,8084,135,29,18,25459470,1,"Australia",NA,NA,"99999999"
2020-07-20,12070,123,3534425,12070,8206,156,33,17,25459470,1,"Australia",NA,NA,"99999999"
2020-07-21,12428,126,3590735,12428,8355,182,38,23,25459470,1,"Australia",NA,NA,"99999999"
2020-01-25,0,0,0,0,0,0,0,0,428060,2,"Australia","Australian Capital Territory",NA,"f42f23e3"
2020-01-25,3,0,0,0,0,0,0,0,8117976,2,"Australia","New South Wales",NA,"5c4dd6e0"
2020-01-25,0,0,0,0,0,0,0,0,245562,2,"Australia","Northern Territory",NA,"a079fdb2"
2020-01-25,0,0,0,0,0,0,0,0,5115451,2,"Australia","Queensland",NA,"36068882"
2020-01-25,0,0,0,0,0,0,0,0,1756494,2,"Australia","South Australia",NA,"165128d0"
2020-01-25,0,0,0,0,0,0,0,0,535500,2,"Australia","Tasmania",NA,"86525f8e"
2020-01-25,1,0,0,0,0,0,0,0,6629870,2,"Australia","Victoria",NA,"6c5dccdb"
2020-01-25,0,0,0,0,0,0,0,0,2630557,2,"Australia","Western Australia",NA,"1f999f12"
2020-01-26,0,0,0,0,0,0,0,0,428060,2,"Australia","Australian Capital Territory",NA,"f42f23e3"
2020-01-26,3,0,0,0,0,0,0,0,8117976,2,"Australia","New South Wales",NA,"5c4dd6e0"
2020-01-26,0,0,0,0,0,0,0,0,245562,2,"Australia","Northern Territory",NA,"a079fdb2"
2020-01-26,0,0,0,0,0,0,0,0,5115451,2,"Australia","Queensland",NA,"36068882"
2020-01-26,0,0,0,0,0,0,0,0,1756494,2,"Australia","South Australia",NA,"165128d0"
